GDL,FZN,FDU,80, 73, 8, 81, 83, 48, 76
IGR,CDL,DPT,81, 51, 53, 117, 24, 49, 102
YIW,YRR,NNT,82, 117, 17, 11, 87, 27, 99
WWW,YNZ,WKE,83, 88, 85, 8, 74, 34, 107
NLA,VHD,RGH,84, 79, 50, 116, 43, 23, 113
UVJ,IDI,CZP,85, 101, 3, 50, 115, 50, 10
DWG,MBZ,DOO,86, 87, 32, 5, 49, 112, 64
UNS,LFY,KNX,87, 115, 59, 84, 67, 97, 116
XZC,DNV,BQD,88, 107, 56, 43, 5, 100, 118
DTY,ANT,QEV,89, 75, 57, 78, 67, 42, 118
PUZ,UBQ,FUW,90, 50, 12, 100, 54, 69, 17
MDH,OVN,SCH,91, 120, 76, 81, 61, 36, 24
UIC,PHR,SVT,92, 41, 102, 116, 31, 64, 26
ZKT,FGE,ANQ,93, 99, 97, 92, 86, 36, 35
BJV,BHP,CEC,94, 40, 12, 20, 114, 57, 86
MVS,DVS,OGT,95, 81, 21, 118, 25, 84, 71
OVF,POK,DOD,96, 106, 16, 110, 114, 119, 48
SBO,WMC,TZX,97, 45, 67, 55, 90, 62, 60
EZS,EGE,DXU,98, 35, 65, 43, 100, 107, 110
MNW,KLR,WRW,99, 48, 49, 18, 92, 11, 40
SXU,HZA,HPD,100, 82, 65, 46, 16, 20, 89
BTY,LHV,CBC,101, 66, 13, 105, 16, 103, 37
POM,MGS,ZDY,102, 88, 79, 97, 66, 7, 42
RLP,TSX,RLS,103, 102, 51, 47, 116, 35, 1
MFU,PSS,KWI,104, 95, 95, 84, 25, 20, 105
LYX,IPT,SCM,105, 115, 107, 106, 76, 106, 69
PBX,YQA,LTC,106, 50, 112, 97, 115, 32, 116
RLK,BXA,SGN,107, 16, 5, 67, 9, 118, 70
LOU,UEV,RTU,108, 11, 112, 116, 77, 7, 81
SLV,MRZ,AIW,109, 56, 45, 18, 117, 98, 84
FAX,QVX,SLT,110, 44, 105, 90, 114, 17, 8
LHZ,PUP,PJC,111, 112, 23, 107, 24, 109, 118
NTO,FVH,WBP,112, 20, 36, 63, 102, 52, 57
NXY,KAQ,OQG,113, 52, 11, 17, 33, 114, 29
BSS,LOZ,SKQ,114, 106, 55, 63, 59, 66, 19
UNF,QAP,FFK,115, 111, 81, 7, 73, 52, 7
SBB,XLG,MPJ,116, 106, 89, 17, 76, 14, 15
LNN,JTT,SNK,117, 7, 60, 107, 94, 86, 59
ZET,RBT,SRG,118, 114, 38, 114, 119, 66, 101
BQY,WKE,FUT,119, 37, 19, 38, 120, 5, 14
LOJ,RHQ,DHQ,120, 119, 38, 58, 73, 93, 79
